id,masked,original
228,[MASK] [MASK] [MASK] purchase [MASK] [MASK] tickets [MASK] hail caesar [MASK] [MASK] [MASK],"okay , your purchase of 2 tickets for hail caesar is confirmed ."
229,[MASK] [MASK] [MASK] [MASK] like [MASK] movie tickets [MASK] seattle [MASK] washington [MASK] [MASK],"hi , i 'd like some movie tickets for seattle , washington please ."
230,great [MASK] washington there [MASK] type [MASK] [MASK] that you prefer ?,great - is there a type of movie that you prefer ?
231,how [MASK] [MASK] [MASK] [MASK] brooklyn [MASK] [MASK] mei rã‰n yã_are [MASK] top romance [MASK] boy? [MASK] [MASK],"how to be single , brooklyn , and mei rã‰n yã_are the top romance movies out now ."
232,[MASK] [MASK] your purchase [MASK] [MASK] tickets [MASK] zootopia [MASK] [MASK] [MASK],"okay , your purchase of 2 tickets for zootopia is confirmed ."
233,[MASK] depending [MASK] watch zootopia tonight,i want to watch zootopia tonight
234,[MASK] how many tickets [MASK] you like ?,and how many tickets would you like ?
235,i [MASK] secured [MASK] tickets [MASK] you [MASK] [MASK] psychic? [MASK] provide Common [MASK] your name ?,i have secured those tickets for you ! could you please provide me with your name ?
236,"[MASK] [MASK] i see error, tomorrow night",where can i see zootopia tomorrow night
237,zootopia [MASK] playing all [MASK] [MASK] country [MASK] where [MASK] you [MASK] [MASK] see [MASK] ?,zootopia is playing all across the country . where would you like to see it ?
238,yes [MASK] [MASK] meridan [MASK],yes the regal meridan 16
239,great [MASK] how many tickets [MASK] i weekday [MASK] you ?,great - how many tickets should i purchase for you ?
240,[MASK] how many adults / [MASK] will there be ?,and how many adults / children will there be ?
241,Springfields apologize [MASK] [MASK] you want [MASK] tickets [MASK] [MASK] ?,"i apologize , do you want four tickets or two ?"
242,[MASK] [MASK] plans changed [MASK] i need 2 tickets,"sorry , plans changed , i need 2 tickets"
243,great [MASK] [MASK] [MASK] would! these tickets [MASK] you [MASK] thank you [MASK] [MASK] our service [MASK],"great , i have secured these tickets for you ! thank you for using our service !"
244,[MASK] movie theatres [MASK] showing pg [MASK] [MASK] weekend ?,what movie theatres are showing pg movies this weekend ?
245,what city [MASK] state [MASK] [MASK] like me [MASK] look [MASK] [MASK] reservation ?,what city and state would you like me to look for a reservation ?
246,[MASK] you reserve [MASK] tickets [MASK] information meridian 16 [MASK] [MASK] salad matinee showing ?,can you reserve 5 tickets at regal meridian 16 for the saturday matinee showing ?
247,tickets [MASK] [MASK] available that [MASK] [MASK] advance [MASK] [MASK] anytime [MASK],tickets are not available that far in advance for that movie .
248,[MASK] [MASK] [MASK] avengers still playing [MASK] seattle? ?,hey is the avengers still playing in theaters ?
249,"[MASK] , it [MASK] no longer [MASK] theaters [MASK]","no , it is no longer in theaters ."
250,thanks [MASK] [MASK] [MASK] when [MASK] finding dory 5:40 [MASK] [MASK] [MASK] ?,"thanks ! hey , when does finding dory come out in theaters ?"
251,finding dory [MASK] [MASK] released [MASK] june [MASK] [MASK] [MASK] [MASK],"finding dory will be released on june 17 , 2016 ."
252,[MASK] you tell me what rated pg movies [MASK] Bronze\r\nPacific right now ?,can you tell me what rated pg movies are playing right now ?
253,at [MASK] theater [MASK] you like me to check ?,at what theater would you like me to check ?
254,[MASK] theater [MASK] des Desoto [MASK] [MASK],"any theater in des moines , iowa"
255,[MASK] do 215pm tomorrow [MASK] [MASK] pm [MASK] there [MASK] [MASK] [MASK] [MASK] us,let's do zootopia tomorrow around 7 pm . there will be 4 of us
256,i [MASK] like [MASK] north [MASK] [MASK] [MASK],i would like to book a restaurant .
257,i [MASK] secured [MASK] tickets [MASK] you [MASK] [MASK] name [MASK] i put [MASK] [MASK] reservation ?,i have secured those tickets for you ! what name should i put on the reservation ?
258,"[MASK] , [MASK] you like [MASK] purchase movie tickets ?","hello , would you like to purchase movie tickets ?"
259,"is there [MASK] indian restaurant [MASK] [MASK] 110pm, area ?",is there a indian restaurant in the seattle area ?
260,this [MASK] [MASK] movie directions Showtimes [MASK] sir [MASK],"this is a movie purchasing service , sir ."
261,great [MASK] your [MASK] [MASK] confirmed [MASK],great ! your tickets are confirmed !
262,whart name [MASK] i use [MASK] [MASK] Island? [MASK] [MASK] ?,"whart name shall i use for the reservation , please ?"
263,[MASK] [MASK] [MASK] purchase [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] confirmed [MASK],"okay , your purchase of 2 tickets for race is confirmed ."
264,[MASK] you book me the latest [MASK] movie [MASK] [MASK] closest theater [MASK] [MASK] ?,can you book me the latest action movie at the closest theater to 90601 ?
265,[MASK] saturday [MASK] [MASK] showing that is closest [MASK] area.,"next saturday , the showing that is closest to noon"
266,[MASK] following times are available tonight : [MASK] pm 11:00 pm,the following times are available tonight : 8:30 pm 11:00 pm
267,[MASK] [MASK] your purchase [MASK] [MASK] tickets for zootopia [MASK] [MASK] [MASK],"okay , your purchase of 2 tickets for zootopia is confirmed ."
268,"[MASK] i Paradiso, [MASK] tickets [MASK] V today [MASK] [MASK] pm [MASK] birmingham [MASK] [MASK]","can i have 2 tickets for deadpool today around 4 pm in birmingham , al"
269,[MASK] summit [MASK] [MASK] birmingham [MASK] [MASK],"carmike summit 16 in birmingham , al"
270,i [MASK] like [MASK] purchase tickets for star [MASK] [MASK] this friday,i would like to purchase tickets for star wars for this friday
271,star wars [MASK] [MASK] playing [MASK] [MASK] Galewood [MASK] [MASK] city [MASK] you located [MASK] ?,"star wars is still playing in some theaters , what city are you located in ?"
272,[MASK] regal lloyd center [MASK] [MASK],the regal lloyd center 10 .
273,suited many tickets [MASK] you like ?,how many tickets would you like ?
274,i [MASK] purchased your tickets [MASK] thank you [MASK],i have purchased your tickets . thank you .
275,[MASK] [MASK] like [MASK] [MASK] 1245. [MASK] joy [MASK] friday,i would like to purchase ticket for joy this friday
276,[MASK] city [MASK] state [MASK] you like me [MASK] look [MASK] a ticket ?,what city and state would you like me to look for a ticket ?
277,sure [MASK] what about star wars,sure . what about star wars
278,[MASK] [MASK] [MASK] clock [MASK] [MASK] great,the 10 o clock would be great
279,how [MASK] tickets [MASK] you like ?,how many tickets would you like ?
280,98101? [MASK] i [MASK] 11:55am your tickets . thank [MASK] [MASK],great . i 've ordered your tickets . thank you .
281,thank you [MASK] [MASK] Mandarin service [MASK] have a wonderful day,thank you for the fabulous service and have a wonderful day
282,[MASK] you ratings: a good r-rated [MASK] [MASK] theaters now ?,can you recommend a good r-rated movie in theaters now ?
283,sure [MASK] [MASK] you BOOM [MASK] specific genre in mind ?,"sure , do you have a specific genre in mind ?"
284,"here [MASK] [MASK] suggestions [MASK] deadpool [MASK] how [MASK] [MASK] single , whiskey restaurant? foxtrot [MASK]","here are some suggestions : deadpool , how to be single , whiskey tango foxtrot ."
285,i [MASK] sorry [MASK] i [MASK] unable [MASK] book tickets [MASK] [MASK] theater [MASK] [MASK] [MASK] [MASK] [MASK],"i 'm sorry , i am unable to book tickets at this theater until 3 / 17 ."
286,"[MASK] [MASK] how [MASK] [MASK] Orleans, [MASK] pittsburgh ?","okay , how about a theater in pittsburgh ?"
287,[MASK] found showtimes [MASK] amc loews [MASK] [MASK] [MASK] [MASK] [MASK] 20567 like [MASK] theater ?,i found showtimes at amc loews waterfro nt 22 . would you like this theater ?
288,[MASK] [MASK] [MASK] [MASK] tickets [MASK] their latest showing [MASK] night [MASK] 3\/9\/2016,yes please . two tickets to their latest showing the night of 3\/9\/2016
289,what [MASK] [MASK] new releases showing [MASK] ?,what are the new releases showing tonight ?
290,[MASK] i get [MASK] tickets [MASK] 10 mbfgw2 lane ?,can i get 2 tickets for 10 cloverfield lane ?
291,[MASK] theater [MASK] royal oak mi,any theater in royal oak mi
292,great [MASK] i [MASK] purchased your tickets [MASK] thank you [MASK],great ! i 've purchased your tickets . thank you .
293,assuming you have a great day [MASK],thank you have a great day !
294,your tickets [MASK] be [MASK] [MASK] [MASK] box office [MASK] [MASK] thank you [MASK],"your tickets will be available at the box office window , thank you !"
295,[MASK] movies [MASK] playing around [MASK] varies [MASK] the seattle area tomorrow ?,what movies are playing around 7 pm in the seattle area tomorrow ?
296,i [MASK] take the one [MASK] aurora [MASK] 7:25,i will take the one on aurora at 7:25
297,how many [MASK] should i purchase ?,how many tickets should i purchase ?
298,"thank you [MASK] using our service , good bye [MASK]","thank you for using our service , good bye ."
299,[MASK] today [MASK] [MASK] fine,1:30 today would be fine
300,great [MASK] 55311? [MASK] purchased [MASK] tickets [MASK] [MASK] you [MASK],great . i have purchased your tickets . thank you .
301,[MASK] is [MASK] [MASK] Elgin showing [MASK] [MASK] [MASK] works. [MASK] go [MASK] that ?,there is a 1:35 pm showing . would you like to go with that ?
302,great [MASK] i [MASK] purchased [MASK] tickets [MASK] thank you .,great . i have purchased your tickets . thank you .
303,[MASK] movies [MASK] opening [MASK] weekend ?,what movies are opening this weekend ?
304,[MASK] [MASK] i want [MASK] see 10 cloverfield lane,"yes , i want to see 10 cloverfield lane"
305,"[MASK] city are you Nope, in ?",what city are you located in ?
306,how many tickets [MASK] you releases. ?,how many tickets would you like ?
307,wenesday [MASK] [MASK] [MASK] [MASK] vegan [MASK] you [MASK] [MASK] go [MASK] [MASK] movie ?,"thanks ( ) , what day to you want to go to the movie ?"
308,"i want [MASK] go [MASK] saturday , [MASK] 12","i want to go this saturday , march 12"
309,[MASK] i [MASK] like [MASK] purchase tickets,yes i would like to purchase tickets
310,[MASK] time [MASK] you like [MASK] tickets [MASK] ?,what time would you like the tickets for ?
311,your tickets [MASK] [MASK] available [MASK] [MASK] box office [MASK] enjoy [MASK] show [MASK],"your tickets will be available at the box office , enjoy the show !"
312,[MASK] ? [MASK] i [MASK] [MASK] tickets ?,hello ? can i get some tickets ?
313,[MASK] [MASK] you sure can [MASK] what city [MASK] you located [MASK] ?,hi . you sure can . what city are you located in ?
314,[MASK] available\r\n3:55pm [MASK] [MASK] short [MASK] seeing ?,what movie are you interested in seeing ?
315,kung [MASK] panda [MASK] [MASK] 3d,kung fu panda 3 in 3d
316,[MASK] [MASK] date [MASK] you [MASK] tickets ?,on what date would you like tickets ?
317,saturday evening [MASK] [MASK] [MASK] [MASK] pm [MASK] [MASK] pm [MASK],"saturday evening please , between 5 pm and 6 pm ."
318,[MASK] it [MASK] [MASK] book [MASK] tickets [MASK] [MASK],yes it would . book 3 tickets please .
319,great [MASK] i [MASK] purchased your tickets [MASK] [MASK] you [MASK],great . i 've purchased your tickets . thank you .
320,[MASK] good action movies out ?,any good action movies out ?
321,can Daddy's find [MASK] tickets [MASK] deadpool in birmingham [MASK] [MASK] today [MASK] [MASK] [MASK],"can you find 2 tickets for deadpool in birmingham , al today around 2 pm"
322,[MASK] you find [MASK] good action [MASK] [MASK] [MASK] people [MASK] [MASK] in birmingham [MASK] [MASK] ?,"can you find a good action movie for 2 people this saturday in birmingham , alabama ?"
323,[MASK] [MASK] showtime range [MASK] you like ?,at what showtime range would you like ?
324,[MASK] [MASK] fallen sounds [MASK],london has fallen sounds good
325,great [MASK] premiere 've [MASK] your tickets [MASK] thank you [MASK],great . i 've purchased your tickets . thank you .
326,i [MASK] like tickets [MASK] 4:20!!!!!!! Fine. [MASK] portland oregon,i would like tickets for star wars in portland oregon
327,hi [MASK] [MASK] day [MASK] you like [MASK] go ?,hi . what day would you like to go ?
328,living room theaters [MASK] [MASK] Miracles? [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] . [MASK],living room theaters would be great . between 8 and 10 pm . please
329,[MASK] this [MASK] Henry? line ?,is this the movie line ?
330,this [MASK] [MASK] how [MASK] i [MASK] [MASK] service today ?,this is ! how can i be of service today ?
331,[MASK] [MASK] [MASK] standard please [MASK] [MASK] tickets [MASK],12:45 for the standard please . 2 tickets .
332,i [MASK] secured [MASK] [MASK] [MASK] you [MASK] [MASK] god's [MASK] using our [MASK] [MASK],i have secured those tickets for you ! thank you for using our service !
333,i [MASK] [MASK] tickets [MASK] [MASK] cloverfield lane,i would like tickets for 10 cloverfield lane
334,what city [MASK] state [MASK] [MASK] like [MASK] [MASK] salt for Going ?,what city and state would you like me to look for tickets ?
335,regal pioneer place [MASK] [MASK],regal pioneer place stadium please
336,[MASK] day [MASK] you like tickets [MASK] ? it requested. [MASK] [MASK] thursday [MASK],what day would you like tickets for ? it comes out on thursday .
337,[MASK] [MASK] 3D. tickets [MASK] you like ?,and how many tickets would you like ?
338,[MASK] adult ticket [MASK] [MASK] thank you,2 adult ticket please and thank you
339,[MASK] time range [MASK] you like [MASK] see the movie ?,what time range would you like to see the movie ?
340,[MASK] pm [MASK] [MASK] [MASK] between [MASK] options? [MASK] i [MASK] [MASK] picky [MASK] thank you,"10 pm or some time close to that . i am not picky , thank you"
341,[MASK] that [MASK] [MASK] great,yes that would be great
342,great [MASK] i [MASK] purchased your tickets [MASK] you [MASK] thank you [MASK],great . i 've purchased your tickets for you . thank you .
343,[MASK] [MASK] [MASK] time [MASK] [MASK] movie ticket ?,"hi , can i get a movie ticket ?"
344,[MASK] date [MASK] United [MASK] you bad. [MASK] ?,what date and movie were you looking for ?
345,friday DAWN around [MASK] pm [MASK] i [MASK] hoping for deadpool [MASK] [MASK] [MASK],friday night around 8 pm . i was hoping for deadpool . near 98119
346,[MASK] many tickets [MASK] you [MASK] ?,how many tickets would you like ?
347,you [MASK] x [MASK] enjoy [MASK] movie [MASK],"you 're welcome , enjoy the movie !"
348,[MASK] time is zootopia playing [MASK] me ?,what time is zootopia playing near me ?
349,[MASK] city [MASK] you located [MASK] ?,what city are you located in ?
350,"[MASK] , for pacific science center","yes , for pacific science center"
351,[MASK] [MASK] [MASK] you like [MASK] go ?,what day would you like to go ?
352,how Fitchburg. tickets [MASK] you like ?,how many tickets would you like ?
353,[MASK] you looking [MASK] cinemas a matinee [MASK] later [MASK] [MASK] evening ?,are you looking to see a matinee or later in the evening ?
354,[MASK] matinee [MASK] [MASK] earliest show possible,"a matinee , the earliest show possible"
355,[MASK] [MASK] like [MASK] 3d showing [MASK] standard ?,would you like a 3d showing or standard ?
